config,spec,seed,steps,tokens,val_loss,val_ppl,diverged,frozen_frac_tail,grad_zero_frac_tail,n_quant_sites,max_zero_frac,max_sat_frac,tokens_per_cpu_sec,cpu_seconds,tokens_per_sec,seconds,wall_over_cpu,threads
R2p9_act4,R2p9_act4 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int4|row|float|nearest|absmax|ste=identity],0,10000,20480000,2.414373927116394,11.182766938312264,False,0.00033663874637230516,0.0,48,0.778797,0.2298,1153.0,17762.4,4574.6,4476.9,0.25,4
R2p9_act4,R2p9_act4 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int4|row|float|nearest|absmax|ste=identity],1,10000,20480000,2.4190928411483763,11.235662159979203,False,0.0003239693459784411,0.0,48,0.781337,0.231923,1162.7,17614.6,4613.2,4439.5,0.25,4
R2p9_act4,R2p9_act4 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int4|row|float|nearest|absmax|ste=identity],2,10000,20480000,2.4188927745819093,11.23341450447673,False,0.00038806779902570484,0.0,48,0.778965,0.231645,1149.5,17815.8,4561.1,4490.1,0.25,4
R7_head8,R7_head8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity head=int8|row|float|nearest|absmax|ste=identity],0,10000,20480000,2.273535747528076,9.713685306511833,False,0.013991926759432007,0.05100178882716328,98,0.633833,0.230792,579.9,35315.7,2301.7,8897.8,0.25,4
R7_head8,R7_head8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity head=int8|row|float|nearest|absmax|ste=identity],1,10000,20480000,2.2718066596984863,9.696904003821983,False,0.014001896442267826,0.04903752323701108,98,0.654238,0.231045,581.0,35250.9,2305.9,8881.4,0.25,4
R7_head8,R7_head8 [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|float|nearest|absmax|ste=identity head=int8|row|float|nearest|absmax|ste=identity],2,10000,20480000,2.281762466430664,9.793926674070862,False,0.014042905589241293,0.049210305206859054,98,0.634624,0.231715,577.9,35436.9,2293.9,8928.2,0.25,4
