config,seed,step,tokens,train_loss,val_loss
R2p9_act4,0,0,2048,7.658150672912598,7.648282313346863
R2p9_act4,0,100,206848,5.029850482940674,4.866901397705078
R2p9_act4,0,200,411648,4.143398284912109,4.198718428611755
R2p9_act4,0,300,616448,3.8822848796844482,3.991367793083191
R2p9_act4,0,400,821248,3.7340145111083984,3.7971418738365172
R2p9_act4,0,500,1026048,3.6126368045806885,3.6744388818740843
R2p9_act4,0,600,1230848,3.6168813705444336,3.5665642261505126
R2p9_act4,0,700,1435648,3.37133526802063,3.453001058101654
R2p9_act4,0,800,1640448,3.4159202575683594,3.380770671367645
R2p9_act4,0,900,1845248,3.2594008445739746,3.282164180278778
R2p9_act4,0,1000,2050048,3.2441904544830322,3.280444657802582
R2p9_act4,0,1100,2254848,3.0143892765045166,3.1964470624923704
R2p9_act4,0,1200,2459648,3.097318410873413,3.165976309776306
R2p9_act4,0,1300,2664448,3.2634236812591553,3.1435244917869567
R2p9_act4,0,1400,2869248,2.890096426010132,3.101082646846771
R2p9_act4,0,1500,3074048,2.9584333896636963,3.039405810832977
R2p9_act4,0,1600,3278848,2.987128973007202,3.0258766412734985
R2p9_act4,0,1700,3483648,2.9287896156311035,2.991058719158173
R2p9_act4,0,1800,3688448,3.060180187225342,2.9720257759094237
R2p9_act4,0,1900,3893248,2.641406297683716,2.9553091168403625
R2p9_act4,0,2000,4098048,3.104745388031006,2.9378581047058105
R2p9_act4,0,2100,4302848,2.82186222076416,2.929534900188446
R2p9_act4,0,2200,4507648,2.9407904148101807,2.9047075152397155
R2p9_act4,0,2300,4712448,3.1702053546905518,2.887902855873108
R2p9_act4,0,2400,4917248,2.8836305141448975,2.867460513114929
R2p9_act4,0,2500,5122048,2.9115307331085205,2.854543352127075
R2p9_act4,0,2600,5326848,2.8041434288024902,2.8315577864646913
R2p9_act4,0,2700,5531648,2.8460917472839355,2.8174410343170164
R2p9_act4,0,2800,5736448,2.82120943069458,2.7913479566574098
R2p9_act4,0,2900,5941248,2.7990875244140625,2.777872681617737
R2p9_act4,0,3000,6146048,2.8169827461242676,2.7698796510696413
R2p9_act4,0,3100,6350848,2.8904881477355957,2.7692180395126345
R2p9_act4,0,3200,6555648,2.714132070541382,2.774922585487366
R2p9_act4,0,3300,6760448,2.8894872665405273,2.7377230763435363
R2p9_act4,0,3400,6965248,2.9708385467529297,2.727354860305786
R2p9_act4,0,3500,7170048,2.5711476802825928,2.7314427733421325
R2p9_act4,0,3600,7374848,2.4967310428619385,2.7242287755012513
R2p9_act4,0,3700,7579648,2.7496960163116455,2.7036768555641175
R2p9_act4,0,3800,7784448,2.6058852672576904,2.690779912471771
R2p9_act4,0,3900,7989248,2.658592939376831,2.6852470874786376
R2p9_act4,0,4000,8194048,2.551403522491455,2.6834885835647584
R2p9_act4,0,4100,8398848,2.6407546997070312,2.671731948852539
R2p9_act4,0,4200,8603648,2.601771116256714,2.6569108724594117
R2p9_act4,0,4300,8808448,2.703411340713501,2.659712028503418
R2p9_act4,0,4400,9013248,2.5963141918182373,2.649344325065613
R2p9_act4,0,4500,9218048,2.597835063934326,2.637843096256256
R2p9_act4,0,4600,9422848,2.5007452964782715,2.6289512276649476
R2p9_act4,0,4700,9627648,2.580251693725586,2.6156256914138796
R2p9_act4,0,4800,9832448,2.4406485557556152,2.6139765977859497
R2p9_act4,0,4900,10037248,2.7113125324249268,2.6091214537620546
R2p9_act4,0,5000,10242048,2.5533652305603027,2.6040793538093565
R2p9_act4,0,5100,10446848,2.572134017944336,2.59708012342453
R2p9_act4,0,5200,10651648,2.6354315280914307,2.5827293276786802
R2p9_act4,0,5300,10856448,2.6271932125091553,2.5788652181625364
R2p9_act4,0,5400,11061248,2.5608248710632324,2.58700612783432
R2p9_act4,0,5500,11266048,2.6274211406707764,2.5684671878814695
R2p9_act4,0,5600,11470848,2.3969802856445312,2.5539054036140443
R2p9_act4,0,5700,11675648,2.519648790359497,2.5635625600814818
R2p9_act4,0,5800,11880448,2.5954108238220215,2.548838806152344
R2p9_act4,0,5900,12085248,2.4754550457000732,2.5369678735733032
R2p9_act4,0,6000,12290048,2.664628505706787,2.5442693710327147
R2p9_act4,0,6100,12494848,2.3412609100341797,2.5320308208465576
R2p9_act4,0,6200,12699648,2.4339518547058105,2.523833727836609
R2p9_act4,0,6300,12904448,2.7514991760253906,2.523793566226959
R2p9_act4,0,6400,13109248,2.4215168952941895,2.516437065601349
R2p9_act4,0,6500,13314048,2.62406587600708,2.5151175379753115
R2p9_act4,0,6600,13518848,2.66100811958313,2.509303033351898
R2p9_act4,0,6700,13723648,2.4860875606536865,2.5014155864715577
R2p9_act4,0,6800,13928448,2.4206817150115967,2.506052005290985
R2p9_act4,0,6900,14133248,2.449846029281616,2.4961071252822875
R2p9_act4,0,7000,14338048,2.67277455329895,2.491596829891205
R2p9_act4,0,7100,14542848,2.390063762664795,2.4856432676315308
R2p9_act4,0,7200,14747648,2.3549063205718994,2.48363254070282
R2p9_act4,0,7300,14952448,2.3098762035369873,2.4806043982505797
R2p9_act4,0,7400,15157248,2.5039432048797607,2.468588948249817
R2p9_act4,0,7500,15362048,2.563884973526001,2.475314772129059
R2p9_act4,0,7600,15566848,2.365987777709961,2.458105754852295
R2p9_act4,0,7700,15771648,2.2861883640289307,2.463306212425232
R2p9_act4,0,7800,15976448,2.2564218044281006,2.454871952533722
R2p9_act4,0,7900,16181248,2.6564905643463135,2.4515178918838503
R2p9_act4,0,8000,16386048,2.3582329750061035,2.4536058068275453
R2p9_act4,0,8100,16590848,2.310333728790283,2.4486403942108153
R2p9_act4,0,8200,16795648,2.418823719024658,2.4441338777542114
R2p9_act4,0,8300,17000448,2.198744058609009,2.4375020265579224
R2p9_act4,0,8400,17205248,2.4358465671539307,2.4362424492835997
R2p9_act4,0,8500,17410048,2.2398526668548584,2.433445453643799
R2p9_act4,0,8600,17614848,2.3363332748413086,2.4317750930786133
R2p9_act4,0,8700,17819648,2.2976553440093994,2.431980586051941
R2p9_act4,0,8800,18024448,2.26220965385437,2.4309354543685915
R2p9_act4,0,8900,18229248,2.4768967628479004,2.4205071568489074
R2p9_act4,0,9000,18434048,2.492543935775757,2.4254863381385805
R2p9_act4,0,9100,18638848,2.4796059131622314,2.4211164236068727
