config,seed,step,tokens,train_loss,val_loss
C1_actpow2_only,0,0,2048,7.659399509429932,7.648534941673279
C1_actpow2_only,0,100,206848,5.182467460632324,5.049716973304749
C1_actpow2_only,0,200,411648,4.208218574523926,4.245269668102265
C1_actpow2_only,0,300,616448,3.9077796936035156,4.00117529630661
C1_actpow2_only,0,400,821248,3.757309913635254,3.8100404500961305
C1_actpow2_only,0,500,1026048,3.5789225101470947,3.67219318151474
C1_actpow2_only,0,600,1230848,3.6001157760620117,3.55035640001297
C1_actpow2_only,0,700,1435648,3.352050542831421,3.473920702934265
C1_actpow2_only,0,800,1640448,3.428602457046509,3.373603677749634
C1_actpow2_only,0,900,1845248,3.2736783027648926,3.288335180282593
C1_actpow2_only,0,1000,2050048,3.2211265563964844,3.274772083759308
C1_actpow2_only,0,1100,2254848,2.996861696243286,3.2008975744247437
C1_actpow2_only,0,1200,2459648,3.1096808910369873,3.1525863885879515
C1_actpow2_only,0,1300,2664448,3.2785887718200684,3.124683678150177
C1_actpow2_only,0,1400,2869248,2.892625093460083,3.0882814288139344
C1_actpow2_only,0,1500,3074048,2.9528756141662598,3.036353898048401
C1_actpow2_only,0,1600,3278848,2.9657528400421143,2.998138058185577
C1_actpow2_only,0,1700,3483648,2.930654287338257,2.960297095775604
C1_actpow2_only,0,1800,3688448,3.0553364753723145,2.9563748240470886
C1_actpow2_only,0,1900,3893248,2.6272132396698,2.9386408805847166
C1_actpow2_only,0,2000,4098048,3.074842691421509,2.9054360389709473
C1_actpow2_only,0,2100,4302848,2.8098413944244385,2.8846495151519775
C1_actpow2_only,0,2200,4507648,2.888441562652588,2.887041890621185
C1_actpow2_only,0,2300,4712448,3.1434829235076904,2.86212671995163
C1_actpow2_only,0,2400,4917248,2.8446013927459717,2.83522207736969
C1_actpow2_only,0,2500,5122048,2.8755407333374023,2.818259370326996
C1_actpow2_only,0,2600,5326848,2.7728872299194336,2.80840026140213
C1_actpow2_only,0,2700,5531648,2.8314270973205566,2.789735293388367
C1_actpow2_only,0,2800,5736448,2.788400888442993,2.7722324252128603
C1_actpow2_only,0,2900,5941248,2.827315092086792,2.7694169998168947
C1_actpow2_only,0,3000,6146048,2.75775146484375,2.754332196712494
C1_actpow2_only,0,3100,6350848,2.857046127319336,2.748916757106781
C1_actpow2_only,0,3200,6555648,2.6705868244171143,2.72406325340271
C1_actpow2_only,0,3300,6760448,2.8158211708068848,2.7219228863716127
C1_actpow2_only,0,3400,6965248,2.912914514541626,2.6922611713409426
C1_actpow2_only,0,3500,7170048,2.5249507427215576,2.6973285913467406
C1_actpow2_only,0,3600,7374848,2.460056781768799,2.692164647579193
C1_actpow2_only,0,3700,7579648,2.6918487548828125,2.6709471225738524
C1_actpow2_only,0,3800,7784448,2.565948247909546,2.6690482258796693
C1_actpow2_only,0,3900,7989248,2.597841262817383,2.636764883995056
C1_actpow2_only,0,4000,8194048,2.4840292930603027,2.6308077216148376
C1_actpow2_only,0,4100,8398848,2.571342945098877,2.6157503008842466
C1_actpow2_only,0,4200,8603648,2.5427308082580566,2.6142273902893067
C1_actpow2_only,0,4300,8808448,2.661876678466797,2.6153583884239198
C1_actpow2_only,0,4400,9013248,2.5484633445739746,2.605723476409912
C1_actpow2_only,0,4500,9218048,2.556086301803589,2.5852330207824705
C1_actpow2_only,0,4600,9422848,2.460082769393921,2.5777523040771486
C1_actpow2_only,0,4700,9627648,2.5166244506835938,2.569647789001465
C1_actpow2_only,0,4800,9832448,2.405550718307495,2.5662936687469484
C1_actpow2_only,0,4900,10037248,2.6401970386505127,2.5669408559799196
C1_actpow2_only,0,5000,10242048,2.512059450149536,2.544657754898071
C1_actpow2_only,0,5100,10446848,2.539440870285034,2.525406610965729
C1_actpow2_only,0,5200,10651648,2.5340843200683594,2.5310825228691103
C1_actpow2_only,0,5300,10856448,2.5732522010803223,2.530453395843506
C1_actpow2_only,0,5400,11061248,2.533154010772705,2.5352275252342222
C1_actpow2_only,0,5500,11266048,2.5383827686309814,2.5050310254096986
C1_actpow2_only,0,5600,11470848,2.310271739959717,2.500067913532257
C1_actpow2_only,0,5700,11675648,2.4540090560913086,2.500410795211792
C1_actpow2_only,0,5800,11880448,2.557708740234375,2.474342465400696
C1_actpow2_only,0,5900,12085248,2.3961751461029053,2.4742335200309755
C1_actpow2_only,0,6000,12290048,2.6068010330200195,2.468929576873779
C1_actpow2_only,0,6100,12494848,2.2683157920837402,2.4658825278282164
C1_actpow2_only,0,6200,12699648,2.3466854095458984,2.4552677035331727
C1_actpow2_only,0,6300,12904448,2.6116371154785156,2.4446978092193605
C1_actpow2_only,0,6400,13109248,2.349336862564087,2.4394630908966066
C1_actpow2_only,0,6500,13314048,2.517343521118164,2.4276400446891784
C1_actpow2_only,0,6600,13518848,2.5423762798309326,2.4259814023971558
C1_actpow2_only,0,6700,13723648,2.4146978855133057,2.4106945753097535
C1_actpow2_only,0,6800,13928448,2.303352117538452,2.4137264609336855
C1_actpow2_only,0,6900,14133248,2.356045961380005,2.4093086957931518
