config,spec,seed,steps,tokens,val_loss,val_ppl,diverged,frozen_frac_tail,grad_zero_frac_tail,n_quant_sites,max_zero_frac,max_sat_frac,tokens_per_cpu_sec,cpu_seconds,tokens_per_sec,seconds,wall_over_cpu,threads
C1_actpow2_only,C1_actpow2_only [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],0,10000,20480000,2.2807305526733397,9.783825399116319,False,0.0003149130648839138,0.0,48,0.434459,0.230546,1021.1,20056.8,4050.0,5056.8,0.25,4
C1_actpow2_only,C1_actpow2_only [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],1,10000,20480000,2.283246088027954,9.80846793940717,False,0.00029696083385157544,0.0,48,0.416435,0.230349,1029.7,19889.7,4084.4,5014.2,0.25,4
C1_actpow2_only,C1_actpow2_only [w=ternary|tensor|float|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity],2,10000,20480000,2.2779505157470705,9.756663775877849,False,0.00026617563225538976,0.0,48,0.404576,0.231145,1038.4,19722.0,4119.2,4971.9,0.25,4
C2_tern_x1p5,C2_tern_x1p5 [w=ternary|tensor|float|x1.5|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],0,10000,20480000,2.2214432334899903,9.220628787836256,False,0.00038114278866086237,0.0,48,0.528292,0.095262,1035.8,19772.3,4108.5,4984.8,0.25,4
C2_tern_x1p5,C2_tern_x1p5 [w=ternary|tensor|float|x1.5|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],1,10000,20480000,2.2184454560279847,9.193028784673617,False,0.00030504379145936984,0.0,48,0.530518,0.096079,1066.4,19204.3,4230.7,4840.8,0.25,4
C2_tern_x1p5,C2_tern_x1p5 [w=ternary|tensor|float|x1.5|nearest|absmean|ste=identity a=int8|row|float|nearest|absmax|ste=identity],2,10000,20480000,2.229242973327637,9.292828496966946,False,0.0002954887023217247,0.0,48,0.537356,0.095593,1020.2,20073.8,4046.4,5061.3,0.25,4
