config,seed,step,tokens,train_loss,val_loss
R0_fp32,0,0,2048,7.681532382965088,7.655008935928345
R0_fp32,0,100,206848,4.953786373138428,4.835930395126343
R0_fp32,0,200,411648,4.1604695320129395,4.168801927566529
R0_fp32,0,300,616448,3.8433473110198975,3.9435596585273744
R0_fp32,0,400,821248,3.717658281326294,3.7501230597496034
R0_fp32,0,500,1026048,3.5248677730560303,3.6269734025001528
R0_fp32,0,600,1230848,3.5562257766723633,3.506031310558319
R0_fp32,0,700,1435648,3.320937156677246,3.4086350083351133
R0_fp32,0,800,1640448,3.370915174484253,3.3485201001167297
R0_fp32,0,900,1845248,3.206286907196045,3.2632799625396727
R0_fp32,0,1000,2050048,3.1866796016693115,3.2121986746788025
R0_fp32,0,1100,2254848,2.98774790763855,3.1654390573501585
R0_fp32,0,1200,2459648,3.04451322555542,3.100985288619995
R0_fp32,0,1300,2664448,3.2062575817108154,3.06436368227005
R0_fp32,0,1400,2869248,2.82248854637146,3.015315854549408
R0_fp32,0,1500,3074048,2.9016528129577637,2.965783679485321
R0_fp32,0,1600,3278848,2.89016056060791,2.9315110206604005
R0_fp32,0,1700,3483648,2.8313214778900146,2.890324318408966
R0_fp32,0,1800,3688448,2.9338836669921875,2.8632038474082946
R0_fp32,0,1900,3893248,2.5480008125305176,2.841947329044342
R0_fp32,0,2000,4098048,2.9274489879608154,2.8147724747657774
R0_fp32,0,2100,4302848,2.6829519271850586,2.7948357820510865
R0_fp32,0,2200,4507648,2.785919427871704,2.7757661938667297
R0_fp32,0,2300,4712448,2.987589120864868,2.757427155971527
R0_fp32,0,2400,4917248,2.7463676929473877,2.7180180191993712
R0_fp32,0,2500,5122048,2.746145248413086,2.688367986679077
R0_fp32,0,2600,5326848,2.6227951049804688,2.674053430557251
R0_fp32,0,2700,5531648,2.652255058288574,2.652894341945648
R0_fp32,0,2800,5736448,2.649771213531494,2.6159536719322203
R0_fp32,0,2900,5941248,2.631610631942749,2.600833833217621
R0_fp32,0,3000,6146048,2.6221375465393066,2.592345345020294
R0_fp32,0,3100,6350848,2.6539173126220703,2.5867322087287903
R0_fp32,0,3200,6555648,2.5201542377471924,2.559312915802002
R0_fp32,0,3300,6760448,2.5694451332092285,2.5327613711357118
R0_fp32,0,3400,6965248,2.719717502593994,2.5336619138717653
R0_fp32,0,3500,7170048,2.344733238220215,2.5365126967430114
R0_fp32,0,3600,7374848,2.272251844406128,2.507150208950043
R0_fp32,0,3700,7579648,2.4672317504882812,2.486890459060669
R0_fp32,0,3800,7784448,2.333871364593506,2.4751330375671388
R0_fp32,0,3900,7989248,2.3685293197631836,2.448365020751953
R0_fp32,0,4000,8194048,2.3181889057159424,2.4509103059768678
R0_fp32,0,4100,8398848,2.400042772293091,2.4417373180389403
R0_fp32,0,4200,8603648,2.3492610454559326,2.417322742938995
R0_fp32,0,4300,8808448,2.431889772415161,2.408616876602173
R0_fp32,0,4400,9013248,2.3415098190307617,2.3910216212272646
R0_fp32,0,4500,9218048,2.3232367038726807,2.3865139484405518
R0_fp32,0,4600,9422848,2.247117280960083,2.365525150299072
R0_fp32,0,4700,9627648,2.3111720085144043,2.35641108751297
R0_fp32,0,4800,9832448,2.14326548576355,2.3487142086029054
R0_fp32,0,4900,10037248,2.447157859802246,2.344838094711304
R0_fp32,0,5000,10242048,2.2545700073242188,2.3336729288101195
R0_fp32,0,5100,10446848,2.2973060607910156,2.32354621887207
R0_fp32,0,5200,10651648,2.30839467048645,2.3138151288032534
R0_fp32,0,5300,10856448,2.2938003540039062,2.2912623405456545
R0_fp32,0,5400,11061248,2.25791072845459,2.2983190536499025
R0_fp32,0,5500,11266048,2.2732815742492676,2.2762275457382204
R0_fp32,0,5600,11470848,2.072716474533081,2.2708956360816956
R0_fp32,0,5700,11675648,2.17405104637146,2.2567726254463194
R0_fp32,0,5800,11880448,2.2783923149108887,2.2582247972488405
R0_fp32,0,5900,12085248,2.1084823608398438,2.2439963102340696
R0_fp32,0,6000,12290048,2.3193719387054443,2.231115734577179
R0_fp32,0,6100,12494848,2.010434627532959,2.2256909728050234
R0_fp32,0,6200,12699648,2.0811688899993896,2.2137983679771422
R0_fp32,0,6300,12904448,2.343109369277954,2.207759141921997
R0_fp32,0,6400,13109248,2.042747735977173,2.200939303636551
R0_fp32,0,6500,13314048,2.2777717113494873,2.201206624507904
R0_fp32,0,6600,13518848,2.301436185836792,2.1897632658481596
R0_fp32,0,6700,13723648,2.119966506958008,2.179147297143936
R0_fp32,0,6800,13928448,2.0568487644195557,2.1691817700862885
R0_fp32,0,6900,14133248,2.1103920936584473,2.16438404917717
R0_fp32,0,7000,14338048,2.2981925010681152,2.154156577587128
R0_fp32,0,7100,14542848,2.0172345638275146,2.1472439587116243
R0_fp32,0,7200,14747648,1.9981153011322021,2.14222766160965
R0_fp32,0,7300,14952448,1.9177871942520142,2.139086526632309
R0_fp32,0,7400,15157248,2.1481306552886963,2.1292944729328154
R0_fp32,0,7500,15362048,2.1633315086364746,2.123225766420364
R0_fp32,0,7600,15566848,1.9877283573150635,2.1140285611152647
R0_fp32,0,7700,15771648,1.900241494178772,2.113591468334198
R0_fp32,0,7800,15976448,1.8719394207000732,2.1086859941482543
R0_fp32,0,7900,16181248,2.2225706577301025,2.101933014392853
R0_fp32,0,8000,16386048,2.0044775009155273,2.1012257397174836
R0_fp32,0,8100,16590848,1.8711178302764893,2.09515323638916
R0_fp32,0,8200,16795648,2.0380699634552,2.085927677154541
R0_fp32,0,8300,17000448,1.817234992980957,2.0834828495979307
R0_fp32,0,8400,17205248,2.0243308544158936,2.0818146467208862
R0_fp32,0,8500,17410048,1.8344286680221558,2.0784212350845337
R0_fp32,0,8600,17614848,1.9296900033950806,2.0705884754657746
R0_fp32,0,8700,17819648,1.914018154144287,2.0699438512325288
R0_fp32,0,8800,18024448,1.8416599035263062,2.0672965347766876
R0_fp32,0,8900,18229248,2.043473720550537,2.061325931549072
R0_fp32,0,9000,18434048,2.071619749069214,2.058353590965271
R0_fp32,0,9100,18638848,2.081580877304077,2.0533742666244508
R0_fp32,0,9200,18843648,2.019904851913452,2.0539122939109804
R0_fp32,0,9300,19048448,1.9158483743667603,2.0485808074474336
R0_fp32,0,9400,19253248,1.9780710935592651,2.050071692466736
R0_fp32,0,9500,19458048,1.8474754095077515,2.0459491193294523
R0_fp32,0,9600,19662848,1.9107669591903687,2.043283224105835
R0_fp32,0,9700,19867648,1.862319827079773,2.0432440102100373
R0_fp32,0,9800,20072448,1.978695273399353,2.036982399225235
R0_fp32,0,9900,20277248,1.8626346588134766,2.034114050865173
R0_fp32,0,9999,20480000,2.081564426422119,2.0321679055690764
R0_fp32,1,0,2048,7.660879611968994,7.649790644645691
R0_fp32,1,100,206848,5.076592922210693,4.924562001228333
R0_fp32,1,200,411648,4.161616325378418,4.177117025852203
R0_fp32,1,300,616448,3.7908051013946533,3.934691822528839
R0_fp32,1,400,821248,3.6996893882751465,3.7201196193695067
R0_fp32,1,500,1026048,3.544503927230835,3.6330293655395507
R0_fp32,1,600,1230848,3.5571112632751465,3.504793953895569
R0_fp32,1,700,1435648,3.286449670791626,3.4177523493766784
R0_fp32,1,800,1640448,3.3423750400543213,3.3034872889518736
R0_fp32,1,900,1845248,3.1963820457458496,3.2246456146240234
R0_fp32,1,1000,2050048,3.1895320415496826,3.2110180497169494
R0_fp32,1,1100,2254848,2.9611713886260986,3.1455056190490724
R0_fp32,1,1200,2459648,3.0510451793670654,3.079707169532776
R0_fp32,1,1300,2664448,3.2074625492095947,3.052283728122711
R0_fp32,1,1400,2869248,2.826051712036133,3.0111721038818358
R0_fp32,1,1500,3074048,2.902529716491699,2.9566542506217957
R0_fp32,1,1600,3278848,2.8824682235717773,2.9331486344337465
R0_fp32,1,1700,3483648,2.821657180786133,2.8892269849777223
R0_fp32,1,1800,3688448,2.962608575820923,2.8564886450767517
R0_fp32,1,1900,3893248,2.553640127182007,2.831770145893097
R0_fp32,1,2000,4098048,2.947855234146118,2.8046757578849792
R0_fp32,1,2100,4302848,2.6899988651275635,2.774318885803223
R0_fp32,1,2200,4507648,2.7618408203125,2.7364694118499755
R0_fp32,1,2300,4712448,2.993497848510742,2.7209115505218504
R0_fp32,1,2400,4917248,2.708531141281128,2.713745129108429
R0_fp32,1,2500,5122048,2.738628625869751,2.6767396211624144
R0_fp32,1,2600,5326848,2.624706983566284,2.660369610786438
R0_fp32,1,2700,5531648,2.6490910053253174,2.6538558125495912
R0_fp32,1,2800,5736448,2.6122846603393555,2.6218444108963013
R0_fp32,1,2900,5941248,2.621591091156006,2.5918646812438966
R0_fp32,1,3000,6146048,2.592402219772339,2.5741438388824465
R0_fp32,1,3100,6350848,2.6671977043151855,2.5726662039756776
R0_fp32,1,3200,6555648,2.4976837635040283,2.5602848529815674
R0_fp32,1,3300,6760448,2.5850677490234375,2.523393487930298
R0_fp32,1,3400,6965248,2.6743812561035156,2.5126774191856383
R0_fp32,1,3500,7170048,2.3066766262054443,2.507321465015411
R0_fp32,1,3600,7374848,2.242591381072998,2.4861817598342895
R0_fp32,1,3700,7579648,2.4429075717926025,2.4758403182029722
R0_fp32,1,3800,7784448,2.320466995239258,2.4562519550323487
R0_fp32,1,3900,7989248,2.4002838134765625,2.4403406977653503
R0_fp32,1,4000,8194048,2.307476758956909,2.4341086983680724
R0_fp32,1,4100,8398848,2.392235517501831,2.4096177339553835
R0_fp32,1,4200,8603648,2.3605310916900635,2.406289482116699
R0_fp32,1,4300,8808448,2.421967029571533,2.390174162387848
R0_fp32,1,4400,9013248,2.315446138381958,2.3853000521659853
R0_fp32,1,4500,9218048,2.3136730194091797,2.375533950328827
R0_fp32,1,4600,9422848,2.2182178497314453,2.3576073169708254
R0_fp32,1,4700,9627648,2.3070132732391357,2.347476768493652
R0_fp32,1,4800,9832448,2.1395437717437744,2.3411914348602294
R0_fp32,1,4900,10037248,2.402061700820923,2.332186532020569
R0_fp32,1,5000,10242048,2.2429563999176025,2.3171835064888002
R0_fp32,1,5100,10446848,2.285747528076172,2.3047275304794312
R0_fp32,1,5200,10651648,2.2654967308044434,2.3044604659080505
R0_fp32,1,5300,10856448,2.273331880569458,2.2796474575996397
