distribution,spec,kind,bits,granularity,scale_mode,nrmse
gaussian,int5|block64|float|nearest|absmax|ste=identity,int,5,block64,float,0.050255
gaussian,int5|block64|pow2/ceil|nearest|absmax|ste=identity,int,5,block64,pow2/ceil,0.072836
gaussian,int5|block64|pow2/round|nearest|absmax|ste=identity,int,5,block64,pow2/round,0.081432
gaussian,int5|block64|dyadic/m2|nearest|absmax|ste=identity,int,5,block64,dyadic/m2,0.052126
gaussian,int5|block64|dyadic/m4|nearest|absmax|ste=identity,int,5,block64,dyadic/m4,0.050439
gaussian,int4|tensor|float|nearest|absmax|ste=identity,int,4,tensor,float,0.191971
gaussian,int4|tensor|pow2/ceil|nearest|absmax|ste=identity,int,4,tensor,pow2/ceil,0.288216
gaussian,int4|tensor|pow2/round|nearest|absmax|ste=identity,int,4,tensor,pow2/round,0.144338
gaussian,int4|tensor|dyadic/m2|nearest|absmax|ste=identity,int,4,tensor,dyadic/m2,0.180206
gaussian,int4|tensor|dyadic/m4|nearest|absmax|ste=identity,int,4,tensor,dyadic/m4,0.189276
gaussian,int4|row|float|nearest|absmax|ste=identity,int,4,row,float,0.143066
gaussian,int4|row|pow2/ceil|nearest|absmax|ste=identity,int,4,row,pow2/ceil,0.21537
gaussian,int4|row|pow2/round|nearest|absmax|ste=identity,int,4,row,pow2/round,0.144338
gaussian,int4|row|dyadic/m2|nearest|absmax|ste=identity,int,4,row,dyadic/m2,0.14186
gaussian,int4|row|dyadic/m4|nearest|absmax|ste=identity,int,4,row,dyadic/m4,0.143069
gaussian,int4|block64|float|nearest|absmax|ste=identity,int,4,block64,float,0.107721
gaussian,int4|block64|pow2/ceil|nearest|absmax|ste=identity,int,4,block64,pow2/ceil,0.150661
gaussian,int4|block64|pow2/round|nearest|absmax|ste=identity,int,4,block64,pow2/round,0.131376
gaussian,int4|block64|dyadic/m2|nearest|absmax|ste=identity,int,4,block64,dyadic/m2,0.108885
gaussian,int4|block64|dyadic/m4|nearest|absmax|ste=identity,int,4,block64,dyadic/m4,0.10782
gaussian,int3|tensor|float|nearest|absmax|ste=identity,int,3,tensor,float,0.44796
gaussian,int3|tensor|pow2/ceil|nearest|absmax|ste=identity,int,3,tensor,pow2/ceil,0.574804
gaussian,int3|tensor|pow2/round|nearest|absmax|ste=identity,int,3,tensor,pow2/round,0.574804
gaussian,int3|tensor|dyadic/m2|nearest|absmax|ste=identity,int,3,tensor,dyadic/m2,0.432757
gaussian,int3|tensor|dyadic/m4|nearest|absmax|ste=identity,int,3,tensor,dyadic/m4,0.45077
gaussian,int3|row|float|nearest|absmax|ste=identity,int,3,row,float,0.334057
gaussian,int3|row|pow2/ceil|nearest|absmax|ste=identity,int,3,row,pow2/ceil,0.562054
gaussian,int3|row|pow2/round|nearest|absmax|ste=identity,int,3,row,pow2/round,0.299936
