spectrum,kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
logspace,100.0,16,rtn,,0,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,5.05
logspace,100.0,16,rtn,,1,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,4.83
logspace,100.0,16,rtn,,2,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,4.65
logspace,100.0,16,sr,,0,0.019801980198019802,3000,0.00024414807580797754,2.2008362397149305e-08,1.8753735257731415e-08,True,0.0008624792098999023,3.5326070338487625,0.68407,,0.0,4,5.16
logspace,100.0,16,sr,,1,0.019801980198019802,3000,0.00024414807580797754,2.5693496798250156e-08,1.943258753866718e-08,True,0.0007689595222473145,3.149562083184719,0.68117,,0.0,4,5.34
logspace,100.0,16,sr,,2,0.019801980198019802,3000,0.00024414807580797754,2.5867793017809345e-08,1.8811538843996038e-08,True,0.0008088350296020508,3.3128871768712997,0.667065,,0.0,4,4.99
logspace,100.0,16,ef,,0,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,5.67
logspace,100.0,16,ef,,1,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,5.53
logspace,100.0,16,ef,,2,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,5.78
logspace,100.0,10,rtn,,0,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,4.84
