config,seed,step,tokens,train_loss,val_loss
R7_everything_pow2,0,0,2048,7.673777103424072,7.659880304336548
R7_everything_pow2,0,100,206848,4.866899013519287,4.733682084083557
R7_everything_pow2,0,200,411648,4.090306282043457,4.112583124637604
R7_everything_pow2,0,300,616448,3.7780566215515137,3.90858656167984
R7_everything_pow2,0,400,821248,3.666937828063965,3.699144959449768
R7_everything_pow2,0,500,1026048,3.5256290435791016,3.5813629388809205
R7_everything_pow2,0,600,1230848,3.549553632736206,3.488164710998535
R7_everything_pow2,0,700,1435648,3.3305177688598633,3.420763838291168
R7_everything_pow2,0,800,1640448,3.3844501972198486,3.3264822244644163
R7_everything_pow2,0,900,1845248,3.218860387802124,3.236538457870483
R7_everything_pow2,0,1000,2050048,3.182270050048828,3.215603530406952
R7_everything_pow2,0,1100,2254848,3.0523738861083984,3.236874580383301
R7_everything_pow2,0,1200,2459648,3.0600504875183105,3.12487587928772
R7_everything_pow2,0,1300,2664448,3.292229175567627,3.1125637173652647
R7_everything_pow2,0,1400,2869248,2.8890879154205322,3.0631784319877626
R7_everything_pow2,0,1500,3074048,2.954730987548828,3.010406732559204
R7_everything_pow2,0,1600,3278848,2.955864906311035,3.0081953763961793
R7_everything_pow2,0,1700,3483648,2.9527647495269775,2.9690981984138487
R7_everything_pow2,0,1800,3688448,3.054222822189331,2.9891385316848753
R7_everything_pow2,0,1900,3893248,2.6868937015533447,2.956241858005524
R7_everything_pow2,0,2000,4098048,3.0522618293762207,2.9094019889831544
R7_everything_pow2,0,2100,4302848,2.7808713912963867,2.8988328695297243
R7_everything_pow2,0,2200,4507648,2.895578384399414,2.863823616504669
R7_everything_pow2,0,2300,4712448,3.1181845664978027,2.8501030683517454
R7_everything_pow2,0,2400,4917248,2.8348944187164307,2.8327396869659425
R7_everything_pow2,0,2500,5122048,2.8635799884796143,2.812059235572815
R7_everything_pow2,0,2600,5326848,2.7697560787200928,2.783365178108215
R7_everything_pow2,0,2700,5531648,2.780766010284424,2.7626718640327455
R7_everything_pow2,0,2800,5736448,2.7576334476470947,2.7334975004196167
R7_everything_pow2,0,2900,5941248,2.758843183517456,2.7472683668136595
R7_everything_pow2,0,3000,6146048,2.7469308376312256,2.7193641662597656
R7_everything_pow2,0,3100,6350848,2.817875385284424,2.7289538741111756
R7_everything_pow2,0,3200,6555648,2.621824026107788,2.7055954337120056
R7_everything_pow2,0,3300,6760448,2.7818450927734375,2.6819204568862913
R7_everything_pow2,0,3400,6965248,2.878175735473633,2.6570911407470703
R7_everything_pow2,0,3500,7170048,2.4987428188323975,2.65618896484375
R7_everything_pow2,0,3600,7374848,2.391016721725464,2.6424311637878417
R7_everything_pow2,0,3700,7579648,2.6438069343566895,2.627546560764313
R7_everything_pow2,0,3800,7784448,2.502910614013672,2.6180659413337706
R7_everything_pow2,0,3900,7989248,2.5348715782165527,2.59357225894928
R7_everything_pow2,0,4000,8194048,2.4491419792175293,2.6018680572509765
R7_everything_pow2,0,4100,8398848,2.5525126457214355,2.5768177032470705
R7_everything_pow2,0,4200,8603648,2.499804973602295,2.5585952758789063
R7_everything_pow2,0,4300,8808448,2.5843260288238525,2.546049249172211
R7_everything_pow2,0,4400,9013248,2.499333620071411,2.5548283219337464
R7_everything_pow2,0,4500,9218048,2.5004661083221436,2.540091371536255
R7_everything_pow2,0,4600,9422848,2.395111083984375,2.5193222880363466
