config,spec,seed,steps,tokens,val_loss,val_ppl,diverged,frozen_frac_tail,grad_zero_frac_tail,n_quant_sites,max_zero_frac,max_sat_frac,tokens_per_cpu_sec,cpu_seconds,tokens_per_sec,seconds,wall_over_cpu,threads
R7_everything_pow2,R7_everything_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale head=int8|row|pow2/ceil|nearest|absmax|ste=identity],0,10000,20480000,2.195457260608673,8.984108196513532,False,0.014110111875518243,0.044304453989837046,98,0.746418,0.153213,553.3,37012.4,2195.9,9326.3,0.25,4
R7_everything_pow2,R7_everything_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale head=int8|row|pow2/ceil|nearest|absmax|ste=identity],1,10000,20480000,2.204139633178711,9.062451180425125,False,0.014074986396144278,0.044004576968704655,98,0.729685,0.159822,558.5,36672.2,2216.4,9240.1,0.25,4
R7_everything_pow2,R7_everything_pow2 [w=ternary|tensor|pow2/ceil|nearest|absmean|ste=identity a=int8|row|pow2/ceil|nearest|absmax|ste=identity dy=int8|row|float|stochastic|absmax|ste=identity wg=int8|tensor|float|stochastic|absmax|ste=identity attn=int8|row|pow2/ceil|nearest|absmax|ste=identity+p2scale head=int8|row|pow2/ceil|nearest|absmax|ste=identity],2,10000,20480000,2.2229531621932983,9.234561796183035,False,0.014118136530887232,0.04208198909336045,98,0.729008,0.155075,573.4,35718.1,2275.9,8998.8,0.25,4
